case_id,legal_domain,case_type
CASE-004805,Arbitration,Arbitral Award Challenge
CASE-004806,Human Rights & PIL,Public Interest Litigation
CASE-004807,Environmental Law,Environmental Clearance Challenge
CASE-004808,Human Rights & PIL,Public Interest Litigation
CASE-004809,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004810,Family & Succession,Inheritance / Probate
CASE-004811,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-004812,Arbitration,Arbitral Award Challenge
CASE-004813,Education Law,Student Admission / Examination Dispute
CASE-004814,Family & Succession,Inheritance / Probate
CASE-004815,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-004816,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004817,Medical Negligence,Medical Negligence Complaint
CASE-004818,Administrative Law,Administrative Order Challenge
CASE-004819,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-004820,Human Rights & PIL,Public Interest Litigation
CASE-004821,Property & Land,Property / Partition Suit
CASE-004822,Medical Negligence,Medical Negligence Complaint
CASE-004823,Tax & GST,GST / Tax Assessment Appeal
CASE-004824,White Collar Crime,Money Laundering / Corruption Case
CASE-004825,Immigration & Citizenship,Citizenship / Passport Matter
CASE-004826,Divorce & Matrimonial,Divorce Petition
CASE-004827,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-004828,Child Protection,POCSO / Child Protection Proceeding
CASE-004829,Cybercrime & IT,Online Fraud / Cybercrime
CASE-004830,Contract & Agreement,Breach of Contract / Specific Performance
CASE-004831,Corporate & Commercial,Commercial Contract Dispute
CASE-004832,Medical Negligence,Medical Negligence Complaint
CASE-004833,Contract & Agreement,Breach of Contract / Specific Performance
CASE-004834,Education Law,Student Admission / Examination Dispute
CASE-004835,Property & Land,Property / Partition Suit
CASE-004836,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004837,Media & Defamation,Defamation Suit
CASE-004838,Consumer Protection,Deficiency in Service Complaint
CASE-004839,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004840,Property & Land,Property / Partition Suit
CASE-004841,Divorce & Matrimonial,Divorce Petition
CASE-004842,Arbitration,Arbitral Award Challenge
CASE-004843,Divorce & Matrimonial,Divorce Petition
CASE-004844,Contract & Agreement,Breach of Contract / Specific Performance
CASE-004845,Contract & Agreement,Breach of Contract / Specific Performance
CASE-004846,Media & Defamation,Defamation Suit
CASE-004847,White Collar Crime,Money Laundering / Corruption Case
CASE-004848,Medical Negligence,Medical Negligence Complaint
CASE-004849,Corporate & Commercial,Commercial Contract Dispute
CASE-004850,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004851,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-004852,Corporate & Commercial,Commercial Contract Dispute
CASE-004853,Cybercrime & IT,Online Fraud / Cybercrime
CASE-004854,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-004855,Arbitration,Arbitral Award Challenge
CASE-004856,Immigration & Citizenship,Citizenship / Passport Matter
CASE-004857,Contract & Agreement,Breach of Contract / Specific Performance
CASE-004858,Administrative Law,Administrative Order Challenge
CASE-004859,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004860,Tax & GST,GST / Tax Assessment Appeal
CASE-004861,Arbitration,Arbitral Award Challenge
CASE-004862,Tax & GST,GST / Tax Assessment Appeal
CASE-004863,Corporate & Commercial,Commercial Contract Dispute
CASE-004864,Education Law,Student Admission / Examination Dispute
CASE-004865,Administrative Law,Administrative Order Challenge
CASE-004866,Human Rights & PIL,Public Interest Litigation
CASE-004867,Consumer Protection,Deficiency in Service Complaint
CASE-004868,Divorce & Matrimonial,Divorce Petition
CASE-004869,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-004870,Employment & Labour,Wrongful Termination
CASE-004871,Intellectual Property,Trademark Infringement
CASE-004872,Human Rights & PIL,Public Interest Litigation
CASE-004873,Medical Negligence,Medical Negligence Complaint
CASE-004874,Intellectual Property,Trademark Infringement
CASE-004875,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004876,Education Law,Student Admission / Examination Dispute
CASE-004877,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004878,Immigration & Citizenship,Citizenship / Passport Matter
CASE-004879,Motor Accident Claims,Motor Accident Compensation Claim
CASE-004880,Child Protection,POCSO / Child Protection Proceeding
CASE-004881,Tax & GST,GST / Tax Assessment Appeal
CASE-004882,Administrative Law,Administrative Order Challenge
CASE-004883,Education Law,Student Admission / Examination Dispute
CASE-004884,Consumer Protection,Deficiency in Service Complaint
CASE-004885,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-004886,Corporate & Commercial,Commercial Contract Dispute
CASE-004887,Property & Land,Property / Partition Suit
CASE-004888,Media & Defamation,Defamation Suit
CASE-004889,Cybercrime & IT,Online Fraud / Cybercrime
CASE-004890,White Collar Crime,Money Laundering / Corruption Case
CASE-004891,Environmental Law,Environmental Clearance Challenge
CASE-004892,Cybercrime & IT,Online Fraud / Cybercrime
CASE-004893,Family & Succession,Inheritance / Probate
CASE-004894,Cybercrime & IT,Online Fraud / Cybercrime
CASE-004895,Intellectual Property,Trademark Infringement
CASE-004896,Administrative Law,Administrative Order Challenge
CASE-004897,Tax & GST,GST / Tax Assessment Appeal
CASE-004898,Administrative Law,Administrative Order Challenge
CASE-004899,Family & Succession,Inheritance / Probate
CASE-004900,White Collar Crime,Money Laundering / Corruption Case
CASE-004901,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004902,Environmental Law,Environmental Clearance Challenge
CASE-004903,Employment & Labour,Wrongful Termination
CASE-004904,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-004905,Contract & Agreement,Breach of Contract / Specific Performance
CASE-004906,Corporate & Commercial,Commercial Contract Dispute
CASE-004907,Administrative Law,Administrative Order Challenge
CASE-004908,Cybercrime & IT,Online Fraud / Cybercrime
CASE-004909,Family & Succession,Inheritance / Probate
CASE-004910,Employment & Labour,Wrongful Termination
CASE-004911,Criminal Law,Criminal Trial
CASE-004912,Tax & GST,GST / Tax Assessment Appeal
CASE-004913,White Collar Crime,Money Laundering / Corruption Case
CASE-004914,Criminal Law,Criminal Trial
CASE-004915,Divorce & Matrimonial,Divorce Petition
CASE-004916,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004917,Contract & Agreement,Breach of Contract / Specific Performance
CASE-004918,Media & Defamation,Defamation Suit
CASE-004919,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004920,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004921,Child Protection,POCSO / Child Protection Proceeding
CASE-004922,Immigration & Citizenship,Citizenship / Passport Matter
CASE-004923,Media & Defamation,Defamation Suit
CASE-004924,Corporate & Commercial,Commercial Contract Dispute
CASE-004925,Arbitration,Arbitral Award Challenge
CASE-004926,Employment & Labour,Wrongful Termination
CASE-004927,Immigration & Citizenship,Citizenship / Passport Matter
CASE-004928,Education Law,Student Admission / Examination Dispute
CASE-004929,Human Rights & PIL,Public Interest Litigation
CASE-004930,Property & Land,Property / Partition Suit
CASE-004931,Corporate & Commercial,Commercial Contract Dispute
CASE-004932,Education Law,Student Admission / Examination Dispute
CASE-004933,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-004934,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-004935,Media & Defamation,Defamation Suit
CASE-004936,Education Law,Student Admission / Examination Dispute
CASE-004937,Tax & GST,GST / Tax Assessment Appeal
CASE-004938,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-004939,Environmental Law,Environmental Clearance Challenge
CASE-004940,Medical Negligence,Medical Negligence Complaint
CASE-004941,White Collar Crime,Money Laundering / Corruption Case
CASE-004942,Consumer Protection,Deficiency in Service Complaint
CASE-004943,Divorce & Matrimonial,Divorce Petition
CASE-004944,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-004945,Family & Succession,Inheritance / Probate
CASE-004946,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-004947,Arbitration,Arbitral Award Challenge
CASE-004948,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004949,Divorce & Matrimonial,Divorce Petition
CASE-004950,Intellectual Property,Trademark Infringement
CASE-004951,Medical Negligence,Medical Negligence Complaint
CASE-004952,Cybercrime & IT,Online Fraud / Cybercrime
CASE-004953,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-004954,Corporate & Commercial,Commercial Contract Dispute
CASE-004955,Education Law,Student Admission / Examination Dispute
CASE-004956,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-004957,Environmental Law,Environmental Clearance Challenge
CASE-004958,Intellectual Property,Trademark Infringement
CASE-004959,White Collar Crime,Money Laundering / Corruption Case
CASE-004960,Medical Negligence,Medical Negligence Complaint
CASE-004961,Motor Accident Claims,Motor Accident Compensation Claim
CASE-004962,Education Law,Student Admission / Examination Dispute
CASE-004963,Environmental Law,Environmental Clearance Challenge
CASE-004964,Media & Defamation,Defamation Suit
CASE-004965,Contract & Agreement,Breach of Contract / Specific Performance
CASE-004966,Employment & Labour,Wrongful Termination
CASE-004967,Employment & Labour,Wrongful Termination
CASE-004968,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004969,Contract & Agreement,Breach of Contract / Specific Performance
CASE-004970,Media & Defamation,Defamation Suit
CASE-004971,Tax & GST,GST / Tax Assessment Appeal
CASE-004972,Contract & Agreement,Breach of Contract / Specific Performance
CASE-004973,Medical Negligence,Medical Negligence Complaint
CASE-004974,Family & Succession,Inheritance / Probate
CASE-004975,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004976,Cybercrime & IT,Online Fraud / Cybercrime
CASE-004977,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004978,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004979,Property & Land,Property / Partition Suit
CASE-004980,Environmental Law,Environmental Clearance Challenge
CASE-004981,Criminal Law,Criminal Trial
CASE-004982,Motor Accident Claims,Motor Accident Compensation Claim
CASE-004983,Family & Succession,Inheritance / Probate
CASE-004984,Corporate & Commercial,Commercial Contract Dispute
CASE-004985,Contract & Agreement,Breach of Contract / Specific Performance
CASE-004986,Contract & Agreement,Breach of Contract / Specific Performance
CASE-004987,Family & Succession,Inheritance / Probate
CASE-004988,Cybercrime & IT,Online Fraud / Cybercrime
CASE-004989,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004990,Contract & Agreement,Breach of Contract / Specific Performance
CASE-004991,White Collar Crime,Money Laundering / Corruption Case
CASE-004992,Administrative Law,Administrative Order Challenge
CASE-004993,Human Rights & PIL,Public Interest Litigation
CASE-004994,Education Law,Student Admission / Examination Dispute
CASE-004995,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004996,Medical Negligence,Medical Negligence Complaint
CASE-004997,Media & Defamation,Defamation Suit
CASE-004998,Corporate & Commercial,Commercial Contract Dispute
CASE-004999,Administrative Law,Administrative Order Challenge
CASE-005000,Cybercrime & IT,Online Fraud / Cybercrime
CASE-005001,Immigration & Citizenship,Citizenship / Passport Matter
CASE-005002,Medical Negligence,Medical Negligence Complaint
CASE-005003,Child Protection,POCSO / Child Protection Proceeding
CASE-005004,Corporate & Commercial,Commercial Contract Dispute
CASE-005005,Contract & Agreement,Breach of Contract / Specific Performance
CASE-005006,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-005007,Environmental Law,Environmental Clearance Challenge
CASE-005008,Tax & GST,GST / Tax Assessment Appeal
CASE-005009,Medical Negligence,Medical Negligence Complaint
CASE-005010,Arbitration,Arbitral Award Challenge
CASE-005011,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-005012,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-005013,Immigration & Citizenship,Citizenship / Passport Matter
CASE-005014,Immigration & Citizenship,Citizenship / Passport Matter
CASE-005015,Arbitration,Arbitral Award Challenge
CASE-005016,Intellectual Property,Trademark Infringement
CASE-005017,Education Law,Student Admission / Examination Dispute
CASE-005018,Criminal Law,Criminal Trial
CASE-005019,Divorce & Matrimonial,Divorce Petition
CASE-005020,Human Rights & PIL,Public Interest Litigation
CASE-005021,Immigration & Citizenship,Citizenship / Passport Matter
CASE-005022,Administrative Law,Administrative Order Challenge
CASE-005023,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-005024,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-005025,Environmental Law,Environmental Clearance Challenge
CASE-005026,Family & Succession,Inheritance / Probate
CASE-005027,Intellectual Property,Trademark Infringement
CASE-005028,Contract & Agreement,Breach of Contract / Specific Performance
CASE-005029,Cybercrime & IT,Online Fraud / Cybercrime
CASE-005030,Tax & GST,GST / Tax Assessment Appeal
CASE-005031,Consumer Protection,Deficiency in Service Complaint
CASE-005032,Corporate & Commercial,Commercial Contract Dispute
CASE-005033,White Collar Crime,Money Laundering / Corruption Case
CASE-005034,Constitutional Law,Writ / Fundamental Rights Petition
CASE-005035,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-005036,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-005037,Arbitration,Arbitral Award Challenge
CASE-005038,Contract & Agreement,Breach of Contract / Specific Performance
CASE-005039,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-005040,Corporate & Commercial,Commercial Contract Dispute
CASE-005041,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-005042,Tax & GST,GST / Tax Assessment Appeal
CASE-005043,Constitutional Law,Writ / Fundamental Rights Petition
CASE-005044,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-005045,Motor Accident Claims,Motor Accident Compensation Claim
CASE-005046,Medical Negligence,Medical Negligence Complaint
CASE-005047,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-005048,Criminal Law,Criminal Trial
CASE-005049,Tax & GST,GST / Tax Assessment Appeal
CASE-005050,White Collar Crime,Money Laundering / Corruption Case
CASE-005051,Consumer Protection,Deficiency in Service Complaint
CASE-005052,Property & Land,Property / Partition Suit
CASE-005053,Constitutional Law,Writ / Fundamental Rights Petition
CASE-005054,Arbitration,Arbitral Award Challenge
CASE-005055,Education Law,Student Admission / Examination Dispute
