case_id,legal_domain,case_type,combo_text
CASE-004243,Constitutional Law,Writ / Fundamental Rights Petition,"Whether the facts and evidence establish the legal requirements arising from the constitutional law dispute. Synthetic case involving a writ / fundamental rights petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Constitutional Law, Writ / Fundamental Rights Petition, Constitution of India, Articles 14, 19, 21, 32, 226"
CASE-004244,Administrative Law,Administrative Order Challenge,"Whether the facts and evidence establish the legal requirements arising from the administrative law dispute. Synthetic case involving a administrative order challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Administrative Law, Administrative Order Challenge, Constitution of India, Articles 14, 16, 226"
CASE-004245,Property & Land,Property / Partition Suit,"Whether the facts and evidence establish the legal requirements arising from the property & land dispute. Synthetic case involving a property / partition suit. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Property & Land, Property / Partition Suit, Transfer of Property Act, 1882, TPA §§53A, 54; SRA §§10, 16"
CASE-004246,Tax & GST,GST / Tax Assessment Appeal,"Whether the facts and evidence establish the legal requirements arising from the tax & gst dispute. Synthetic case involving a gst / tax assessment appeal. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Tax & GST, GST / Tax Assessment Appeal, CGST Act, 2017, CGST §§16, 73, 74; IT Act §§143, 147"
CASE-004247,Data Privacy,Personal Data Misuse / Privacy Petition,"Whether the facts and evidence establish the legal requirements arising from the data privacy dispute. Synthetic case involving a personal data misuse / privacy petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Data Privacy, Personal Data Misuse / Privacy Petition, DPDP Act, 2023, DPDP §§4, 8, 11, 12; Constitution Art. 21"
CASE-004248,Insolvency & Bankruptcy,Corporate Insolvency Resolution,"Whether the facts and evidence establish the legal requirements arising from the insolvency & bankruptcy dispute. Synthetic case involving a corporate insolvency resolution. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Insolvency & Bankruptcy, Corporate Insolvency Resolution, Insolvency and Bankruptcy Code, 2016, IBC §§7, 9, 12A, 14, 53"
CASE-004249,Medical Negligence,Medical Negligence Complaint,"Whether the facts and evidence establish the legal requirements arising from the medical negligence dispute. Synthetic case involving a medical negligence complaint. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Medical Negligence, Medical Negligence Complaint, Consumer Protection Act, 2019, CPA §§2(11), 34, 47"
CASE-004250,Family & Succession,Inheritance / Probate,"Whether the facts and evidence establish the legal requirements arising from the family & succession dispute. Synthetic case involving a inheritance / probate. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Family & Succession, Inheritance / Probate, Indian Succession Act, 1925, ISA §§276, 372; HSA §§6, 8"
CASE-004251,Immigration & Citizenship,Citizenship / Passport Matter,"Whether the facts and evidence establish the legal requirements arising from the immigration & citizenship dispute. Synthetic case involving a citizenship / passport matter. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Immigration & Citizenship, Citizenship / Passport Matter, Citizenship Act, 1955, Citizenship Act §§5, 6; Passports Act §10"
CASE-004252,Criminal Law,Criminal Trial,"Whether the facts and evidence establish the legal requirements arising from the criminal law dispute. Synthetic case involving a criminal trial. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Criminal Law, Criminal Trial, Bharatiya Nyaya Sanhita, 2023, BNS §§103, 109, 318, 319"
CASE-004253,Medical Negligence,Medical Negligence Complaint,"Whether the facts and evidence establish the legal requirements arising from the medical negligence dispute. Synthetic case involving a medical negligence complaint. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Medical Negligence, Medical Negligence Complaint, Consumer Protection Act, 2019, CPA §§2(11), 34, 47"
CASE-004254,Family & Succession,Inheritance / Probate,"Whether the facts and evidence establish the legal requirements arising from the family & succession dispute. Synthetic case involving a inheritance / probate. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Family & Succession, Inheritance / Probate, Indian Succession Act, 1925, ISA §§276, 372; HSA §§6, 8"
CASE-004255,Child Protection,POCSO / Child Protection Proceeding,"Whether the facts and evidence establish the legal requirements arising from the child protection dispute. Synthetic case involving a pocso / child protection proceeding. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Child Protection, POCSO / Child Protection Proceeding, POCSO Act, 2012, POCSO §§4, 6, 8, 12"
CASE-004256,Family & Succession,Inheritance / Probate,"Whether the facts and evidence establish the legal requirements arising from the family & succession dispute. Synthetic case involving a inheritance / probate. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Family & Succession, Inheritance / Probate, Indian Succession Act, 1925, ISA §§276, 372; HSA §§6, 8"
CASE-004257,Property & Land,Property / Partition Suit,"Whether the facts and evidence establish the legal requirements arising from the property & land dispute. Synthetic case involving a property / partition suit. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Property & Land, Property / Partition Suit, Transfer of Property Act, 1882, TPA §§53A, 54; SRA §§10, 16"
CASE-004258,Education Law,Student Admission / Examination Dispute,"Whether the facts and evidence establish the legal requirements arising from the education law dispute. Synthetic case involving a student admission / examination dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Education Law, Student Admission / Examination Dispute, Constitution of India, Articles 14, 21A, 226"
CASE-004259,Divorce & Matrimonial,Divorce Petition,"Whether the facts and evidence establish the legal requirements arising from the divorce & matrimonial dispute. Synthetic case involving a divorce petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Divorce & Matrimonial, Divorce Petition, Hindu Marriage Act, 1955, HMA §§13, 13B, 24, 25"
CASE-004260,Data Privacy,Personal Data Misuse / Privacy Petition,"Whether the facts and evidence establish the legal requirements arising from the data privacy dispute. Synthetic case involving a personal data misuse / privacy petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Data Privacy, Personal Data Misuse / Privacy Petition, DPDP Act, 2023, DPDP §§4, 8, 11, 12; Constitution Art. 21"
CASE-004261,Family & Succession,Inheritance / Probate,"Whether the facts and evidence establish the legal requirements arising from the family & succession dispute. Synthetic case involving a inheritance / probate. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Family & Succession, Inheritance / Probate, Indian Succession Act, 1925, ISA §§276, 372; HSA §§6, 8"
CASE-004262,Child Protection,POCSO / Child Protection Proceeding,"Whether the facts and evidence establish the legal requirements arising from the child protection dispute. Synthetic case involving a pocso / child protection proceeding. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Child Protection, POCSO / Child Protection Proceeding, POCSO Act, 2012, POCSO §§4, 6, 8, 12"
